Time,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
0.0,-0.054,0.373,6.252,10.939,89,12.48,33.67
0.06,-0.001,0.249,6.252,10.877,89,12.48,33.29
0.13,-0.1,0.352,6.248,10.81,89,12.48,32.94
0.19,0.183,0.456,6.243,10.748,89,12.48,32.48
0.26,-0.012,0.414,6.236,10.687,89,12.48,32.08
0.32,0.066,0.29,6.227,10.631,89,12.48,31.67
0.39,0.117,0.311,6.213,10.576,89,12.48,31.31
0.45,0.197,0.249,6.198,10.525,75,12.48,30.96
0.52,-0.035,0.311,6.181,10.478,75,12.48,30.71
0.58,-0.138,0.331,6.164,10.433,75,12.48,30.54
0.65,-0.152,0.601,6.126,10.353,75,12.48,30.27
0.71,-0.125,0.477,6.125,10.349,75,12.48,30.25
0.77,-0.171,0.456,6.106,10.314,75,12.48,30.09
0.84,-0.239,0.601,6.089,10.281,75,12.48,29.98
0.9,0.103,0.87,6.08,10.249,75,12.48,29.96
0.97,-0.182,0.912,6.072,10.219,75,12.48,30.06
1.03,-0.085,0.849,6.064,10.189,75,12.48,30.27
1.1,0.069,0.725,6.059,10.161,89,12.48,30.54
1.16,0.0,0.787,6.056,10.132,89,12.48,30.89
1.23,-0.213,0.912,6.054,10.102,89,12.48,31.42
1.29,-0.189,0.849,6.048,10.073,89,12.48,32.31
1.35,-0.13,1.533,6.038,10.047,89,12.48,32.83
1.42,-0.185,1.057,6.027,10.023,89,12.48,33.07
1.48,-0.208,1.285,6.011,10.001,89,12.48,32.88
1.55,0.147,0.974,5.991,9.978,89,12.48,32.59
1.61,-0.112,0.849,5.972,9.956,89,12.48,32.48
1.68,-0.03,0.684,5.957,9.937,89,12.48,32.73
1.74,0.129,0.58,5.942,9.92,93,12.48,33.38
1.81,0.034,0.456,5.929,9.906,93,12.48,34.21
1.87,-0.152,0.559,5.913,9.892,93,12.48,34.82
1.94,-0.129,0.58,5.896,9.883,93,12.48,34.83
2.0,-0.066,0.539,5.885,9.882,93,12.48,34.31
2.06,-0.157,0.269,5.876,9.88,93,12.48,34.21
2.13,-0.139,0.331,5.864,9.87,93,12.48,34.17
2.19,0.101,0.601,5.864,9.864,93,12.48,34.3
2.26,-0.148,0.311,5.856,9.858,93,12.48,34.19
2.32,-0.047,1.036,5.854,9.845,93,12.48,33.99
